PAGE NO.,ITEM,AREA,TYPE OF WORK,MATERIAL,DESCRIPTION,UNIT,QUANTITY,RATE,AMOUNT
2,35,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Pipe Geberit 40 Ø HDPE Soils and Wastes ,m,94.00, 121.91 ,
2,36,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Bend 40 Ø 45 Deg,No ,14.00, 43.04 ,
2,37,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Branch 40 Ø ,No,44.00, 69.82 ,
2,38,Above Ground , Sanitary Drainage - Above Ground HDPE ,Fullbore ,Fullbore flat grate floor drain BDP 3520 100dia with trap,No,7.00, 902.71 ,
2,39,Above Ground , Sanitary Drainage - Above Ground HDPE ,Floor Drains,Floor drain SS Herbish HB200V 100 with ss anti theft wire ,No,14.00," 1,874.17 ",
2,40,Above Ground , Sanitary Drainage - Above Ground HDPE ,Shower Drain,Geberit shower drain outlet 361.620.00.1 with waterproofing flange 367.637.00.1 ,No,20.00, 591.29 ,
2,41,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Pipe 150 Ø including trenching backfill and compaction,m,50.00, 452.71 ,
2,42,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Bend 150 Ø,No,6.00," 3,735.69 ",
2,43,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Tee  110 Ø.,No,1.00," 1,543.99 ",
2,44,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.", Stop Valve 100 Ø (ZPW PRICED AS 1002-125100mm BRASS GATE VALVE FxF),No,2.00," 3,156.95 ",
2,45,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Valve box CI 600 x 600 with hinged cover and frame,No,2.00," 7,219.05 ",
2,46,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Fire Hydrant 100 Ø upstand in GMS complete (ZPW PRICE INCLUDES FOR 100mm STORZ HYDRANT VALVE WTZ-100 AND 100m x 1500mm GMS STANDPIPE ONLY),No,1.00," 4,945.18 ",
2,47,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Double Booster 100 Øin GMS complete (ZPW PRICE INCLUDES FOR TWO PORT BOOSTER & GUAGE WMB-100 ONLY),No,1.00," 7,405.44 ",
2,48,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Reflux Valve 100 Ø (ZPW PRICED AS 100mm CAST IRON NRV TABLE D FLANGED),No,1.00," 3,011.35 ",
2,49,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Thrust blocks - concrete 0.25 m3 each ,No,6.00, 738.16 ,
2,50,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Pipe GMS 100 Ø ,m,60.00, 431.61 ,
2,51,External , Water Supply - External Water ,"Cold water pipework under ground in HDPE Class 16 water main as ""DPI""or equal approved.",Elbow 100 Ø,No,14.00, 627.48 ,
2,52,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Tee 100 Ø,No,6.00," 1,102.75 ",
2,53,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Reducer  100 x 50 Ø,No,12.00, 703.17 ,
2,54,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Stop Valve 100 Ø (ZPW PRICED AS 100mm RHC RSV CAST IRON GATE VALVE TABLE 16 FLANGED),No,4.00," 2,818.09 ",
2,55,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Pipe GMS 80 Ø ,m,608.00, 324.80 ,
2,56,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Elbow 80 Ø,No,30.00, 533.49 ,
2,57,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Tee 80 Ø,No,30.00, 882.82 ,
2,58,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Reducer  80 x 50 Ø,No,40.00, 565.26 ,
2,59,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Non- return valve brass 80 Ø,No,4.00," 1,142.16 ",
3,60,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Stop Valve 80 Ø (ZPW PRICED AS 1090-80 COBRA LEVER ARM VALVE FxF),No,11.00," 3,085.82 ",
3,61,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Pipe GMS 50 Ø ,m,36.00, 195.23 ,
3,62,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Elbow 50 Ø,No,36.00, 55.25 ,
3,63,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Tee 50 Ø,No,24.00, 75.16 ,
3,64,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.",Stop Valve 50 Ø  (ZPW PRICED AS 1090-50 COBRA LEVER ARM VALVE FxF),No,36.00," 1,044.91 ",
3,65,Internal ,Water Supply - Above ground,"Cold water pipework in GMS pipe to SABS 62 medium with screwed screwed joints up to 50 mm Ø and ""Clambon"" couplings for 80 mm and 100 mm Ø pipe . Pipework to include supports and ""Sikla""pipe clamps with rubber inserts.","PRV set for  3.5 Bar pressure at flow of 0 to 6 litres per second.  Comprising 2x50 Ø PRV valves on by pass with unions, isolating valves, strainerts, pressure gauges and air vents Fabrication to be GMS  screwed . PRV set adjustable to be Caleffi or Walcro",Set,1.00," 14,606.93 ",
3,66,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla 50Ø  ,m,156.00, 258.06 ,
3,67,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla  50Ø  ,No,10.00, 184.25 ,
3,68,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla  50Ø,No,15.00, 230.83 ,
3,69,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 50Ø (ZPW PRICED AS 1090-50 COBRA LEVER ARM SHUT OFF VALVE INCLUDING COPPER TO MALE IRON ADAPTORS),No,4.00," 1,232.30 ",
3,70,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla  40Ø  ,m,798.00, 210.38 ,
3,71,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla  40Ø  ,No,93.00, 131.72 ,
3,72,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla  40Ø,No,40.00, 174.62 ,
3,73,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 40Ø (ZPW PRICED AS 1090-40 COBRA LEVER ARM SHUT OFF VALVE INCLUDING COPPER TO MALE IRON ADAPTORS),No,18.00, 872.55 ,
3,74,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla  32Ø  ,m,620.00, 137.04 ,
3,75,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla  32Ø,No,102.00, 89.62 ,
3,76,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla 32 Ø,No,30.00, 119.28 ,
3,77,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 32Ø,No,14.00, 315.09 ,
3,78,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla  26Ø  ,m,648.00, 94.40 ,
3,79,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla 90 Deg  26Ø  ,No,83.00, 61.43 ,
3,80,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla  26 Ø,No,20.00, 83.47 ,
3,81,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 26Ø,No,23.00, 276.80 ,
3,82,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla 20 Ø ,m,1646.00, 66.85 ,
3,83,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla 90 Deg  20Ø ,No,515.00, 46.20 ,
3,84,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla 20 Ø ,No,197.00, 79.81 ,
3,85,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Water Meter 20Ø Sensus iPearl (ZPW PRICED AS 20mm SENSUS IPEARL CODE IPRO02S3 INCLUDING TAIL PIECES),No,12.00," 3,549.66 ",
3,86,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 20Ø,No,104.00, 250.96 ,
3,87,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Pipe Mepla 16 Ø,m,1241.00, 55.62 ,
3,88,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Elbow  Mepla   16Ø  ,No,1137.00, 42.09 ,
3,89,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Tee Mepla 16Ø ,No,207.00, 66.75 ,
4,90,Internal ,Water Supply - Above ground,"Mepla pipes and fittings for hot and cold water including pipe joints, couplings, pipe supports and ""Sikla"" pipe clamps with rubber inserts",Ball valve Mepla with lever 16Ø,No,28.00, 224.32 ,
4,91,Internal ,Water Supply - Above ground,Water meters,Water Meter 15Ø Sensus iPearl (ZPW PRICED AS 15mm SENSUS IPEARL INTELLIGENT WATER METER CODE PERL0015L115 INCLUDING TAIL PIECES),No,67.00," 2,751.68 ",
4,92,Internal ,Water Supply - Above ground,Water meters,Water Meter Sensus 40Ø (ZPW PRICED AS 40mm SENSUS SENTINEL 420 BRASS METER INCLUDING TAIL PIECES),No,2.00," 2,920.19 ",
4,93,Internal ,Water Supply - Above ground,Water meters,Water Meter Sensus 50Ø (ZPW PRICED AS 50mm SENSUS WPD TURBINE METER WPD0050T16),No,2.00," 5,664.93 ",
4,94,Internal ,Water Supply - Above ground,Water meters,Water Meter  Sensus 80Ø  (ZPW PRICED AS 80mm SENSUS WPD TURBINE METER WPD0080T16),No,2.00," 7,033.95 ",
4,95,Internal ,Water Supply - Above ground,Water meters,Water Meter Sensus  100Ø (ZPW PRICED AS 100mm SENSUS WPD TURBINE METER WPD0100T16),No,1.00," 8,362.00 ",
4,96,Internal ,Water Supply - Above ground,Water meters,TA - Therm Thermostatic Circulation Valve 16Ø (ZPW PRICED AS WALCRO 320EM RADA THERMOSCOPIC MIXING VALVE),No,16.00," 8,872.81 ",
4,97,Internal ,Water Supply - Above ground,Water meters,Automatic Air Vents 15Ø (ZPW PRICED AS WALCRO AUTO AIR RELEASE VALVE),No,18.00, 250.53 ,
4,98,Internal ,Water Supply - Above ground,"Aqua heat trace tape - supply, installation, testing, commissioing   ",Bartec Aqua trace heating tape (purple for 60 Deg C) for hot water pipe (ZPW PRICED AS TRICER S-26 HEATING TAPE 26W DOUBLE INSLATED WITH POLYOLEFIN SHEATH CODE: 40582268),m,295.00, 282.31 ,
4,99,Internal ,Water Supply - Above ground,"Aqua heat trace tape - supply, installation, testing, commissioing   ",Aqua aluminium heat distribution tape  for 32mm pipe  (ZPW PRICED AS CODE: TAP001),m,295.00, 24.84 ,
4,100,Internal ,Water Supply - Above ground,"Aqua heat trace tape - supply, installation, testing, commissioing   ",Aqua fibre tape for fixing heating tape to 32 Ø pipe  (ZPW PRICED AS CODE: TAP002),m,295.00, 28.60 ,
4,101,Internal ,Water Supply - Above ground,"Aqua heat trace tape - supply, installation, testing, commissioing   ",Aqua Twisto T-Connection (ZPW PRICED AS CODE: 27-56KT-DC001000),No,30.00," 1,826.96 ",
4,102,Internal ,Water Supply - Above ground,"Aqua heat trace tape - supply, installation, testing, commissioing   ",Aqua Twisto end connection Connection to power supply 1 m distant (Isolator by others) (ZPW PRICED AS TWISTO TE-2 T-JUNCTION IN TWO DIRECTIONS WITH CENTRE FED POWER CONNECTION CABLE AND TWO END TERMINATIONS - ANY ELECTRICAL WORK AND CONNECTIONS BY OTHERS),No,50.00," 2,306.59 ",
4,103,Internal ,Water Supply - Above ground,"Armaflex or similar approved pipe insulation 25mm thickness  including insulation over bends, valves and supports. Any substituted insulation material must have no ozone depleting substances associated with either the manufacture or composition of the product Minimum R value to be 1.00. m2.kw",Pipe insulation 25mm thickness for pipe 40Ø,No,66.00, 99.79 ,
4,104,Internal ,Water Supply - Above ground,"Armaflex or similar approved pipe insulation 25mm thickness  including insulation over bends, valves and supports. Any substituted insulation material must have no ozone depleting substances associated with either the manufacture or composition of the product Minimum R value to be 1.00. m2.kw",Pipe insulation 25mm thickness for pipe 32Ø,No,207.00, 82.91 ,
4,105,Internal ,Water Supply - Above ground,"Armaflex or similar approved pipe insulation 25mm thickness  including insulation over bends, valves and supports. Any substituted insulation material must have no ozone depleting substances associated with either the manufacture or composition of the product Minimum R value to be 1.00. m2.kw",Pipe insulation 25mm thickness for pipe 26Ø,No,76,77.04,
4,106,Internal ,Water Supply - Above ground,"Armaflex or similar approved pipe insulation 25mm thickness  including insulation over bends, valves and supports. Any substituted insulation material must have no ozone depleting substances associated with either the manufacture or composition of the product Minimum R value to be 1.00. m2.kw",Pipe insulation 25mm thickness for pipe 20Ø,No,616,71.53,
4,107,Internal ,Water Supply - Above ground,"Armaflex or similar approved pipe insulation 25mm thickness  including insulation over bends, valves and supports. Any substituted insulation material must have no ozone depleting substances associated with either the manufacture or composition of the product Minimum R value to be 1.00. m2.kw",Pipe insulation 25mm thickness for pipe 16Ø,No,49,63.77,
4,108,Internal , Domestic cold water tank  ,"Domestic cold water storage tank 1.22 x 1.22 m sectional steel plates with external flanges, division and cover. Each division to be provided with a 600 x 600 hinged access for ball valve, 50 flanged cw inlet, 50 flanged connection for drain, 100 overflow and 100 outlet ,100 vent connection with fly screen. Tank to be complete with level switches for high and low level alarm, level gauges, and  access ladders for each float valve. Tank to be Braithwaite. View ,Abeco, Pipeco or approved equal. BMS terminals to be provided for Tank High Level Alarm and Low Level Alarm. Provide two separate low level cut outs for pump set. Tank to be supplied and erected by the contractor on 600 mm high concrete piers by others. Minimun clearance around tank for  erection 600 mm.","Tank 4.88 x 2.44 x 6.10 high Nomimal capacity 90 M3 (ZPW - PLEASE NOTE TANK DIMENSIONS ALLOW FOR 72.633 KILOLITRES ONLY - RATE EXCLUDES CAPPING STRIPS, PAINTING, INTERCONNECTING PIPEWORK, VALVES ETC. TO BE MEASURED WITHIN BOQ)",No,1.00," 2,22,539.22 ",
4,109,Internal , valve  ,Float Valve ,Equilibrium float valve 50Ø  ,No ,2.00," 23,278.22 ",
